INDEX,area_2000,area_r,area_frac,coast_length,coast_r,coast_area_f,dryland_loss,max_dryland_loss,DEM,land_value,wetland_loss_SLR,wetland_loss_coastalsqueeze,exposed_wetland,W_1990,coast_protection_cost
AUS,7633565,7896008,0.966762571669127,25760,40894,0.00399165890177325,12.0979224427019,7633545.31008509,0.548,1514759,0.987900524826692,0.706194515794081,9.68991491343681,213.732432905712,0.146094715804901
NZL,262443,7896008,0.033237428330873,15134,40894,0.0165007454710665,1.71936675157672,262431.622861272,0.548,1514759,0.14040124032014,0.1003649491351,1.37713872829638,30.3758302809562,0.603927284241032
BLZ,22806,2331921,0.00977991964564837,386,15035,0.0132136432303114,1.55125734170061,22788.985613358,0.678,509083,1.90934915225146,0.0307563518264533,7.01438664196664,9.82152016545072,0.558937108642174
CRI,51060,2331921,0.0218961105457689,1290,15035,0.0161438805012191,4.24327225787689,51030.8130144214,0.678,509083,5.22278803816487,0.0841301897179857,19.1869855785821,26.8655515290246,0.682886145201568
SLV,20721,2331921,0.00888580702347978,307,15035,0.0123628134701779,1.31868231145838,20705.0372578154,0.678,509083,1.62308656712742,0.0261451507936599,5.96274218457591,8.349011196049,0.522947009788523
GTM,107159,2331921,0.0459531004695271,400,15035,0.00620539103440961,3.42302411971376,107133.521965495,0.678,509083,4.2131940493811,0.0678673559223487,15.4780345046604,21.6722909312627,0.262488040755527
HND,111890,2331921,0.0479818999014118,832,15035,0.00875829381725222,5.04455588526758,111857.189815987,0.678,509083,6.20903975381777,0.100017019384679,22.8101840133655,31.9387415750009,0.370475828469769
MEX,1943945,2331921,0.833623866331664,9330,15035,0.00703642915690296,70.4122862884714,1943616.61375479,0.678,509083,86.6662387464315,1.39604499638922,318.386245205926,445.803330683723,0.297640953336995
PAN,74340,2331921,0.0318792960825002,2490,15035,0.0185883944383748,7.113389499711,74297.8350825846,0.678,509083,8.75544234073892,0.141035213339822,32.1649174154293,45.0372072628041,0.786289084743253
CAN,9093507,9093507,1,202080,202080,0.00222453033999783,2.1577944297979,9093497,0.261,1170585,0,0,0,290.322898540532,0.0289188944199718
BIH,51187,1119672,0.0457160668481484,20,7647.1,0.00273516669034508,0.236202568491801,51176.9993747947,0.193,220274,0.00475156040375249,0,0.000625205316283222,1.4126651666589,0.00847901674006975
BGR,108489,1119672,0.0968935545409727,354,7647.1,0.00790419084100455,1.44671926146484,108478.996170674,0.193,220274,0.029102875561495,0,0.00382932573177565,8.65244573611319,0.0245029916071141
HRV,55974,1119672,0.0499914260604891,6268,7647.1,0.0463041548321675,4.37267747385447,55963.9884259463,0.193,220274,0.0879628078382583,0,0.0115740536629287,26.151828880568,0.143542879979719
CZE,77247,1119672,0.0689907401453283,0,7647.1,0,0,77237,0.193,220274,0,0,0,0,0
HUN,89608,1119672,0.0800305803842554,0,7647.1,0,0,89598,0.193,220274,0,0,0,0,0
MKD,25433,1119672,0.0227146878728771,0,7647.1,0,0,25423,0.193,220274,0,0,0,0,0
MNE,13452,1119672,0.012014232739588,293.5,7647.1,0.0204389820824201,0.463860361062399,13441.9987722066,0.193,220274,0.00933123013254164,0,0.00122779343849232,2.77422628572905,0.0633608444555022
POL,311888,1119672,0.278553004808551,440,7647.1,0.00519727437794824,2.73473626976204,311877.992761418,0.193,220274,0.055013223002095,0,0.00723858197395987,16.3557352189658,0.0161115505716395
ROU,229891,1119672,0.205319950842747,225,7647.1,0.0043289135593738,1.6789664709936,229880.995555938,0.193,220274,0.0337748681300989,0,0.00444406159606565,10.0414549456654,0.0134196320340588
SRB,88246,1119672,0.0788141527161526,0,7647.1,0,0,88236,0.193,220274,0,0,0,0,0
SVK,48105,1119672,0.0429634750176838,0,7647.1,0,0,48095,0.193,220274,0,0,0,0,0
SVN,20152,1119672,0.0179981280232068,46.6,7647.1,0.00665399577186167,0.226225634613455,20141.9994012027,0.193,220274,0.00455085977517803,0,0.000598797338839215,1.35299576064866,0.0206273868927712
CHN,9326410,10879966,0.857209480250214,14500,14500,0.00896958843580805,269.108568439107,9326252.89756767,0.708,973897,45.2025506815289,13.6784040929478,147.102432325057,240.826026777781,1.06199927079967
MNG,1553556,10879966,0.142790519749786,0,14500,0,0,1553546,0.708,973897,0,0,0,0,0
ARM,29843,21438378,0.00139203628184931,0,45127,0,0,29833,0.555,5527204,0,0,0,0,0
AZE,86100,21438378,0.00401616204360237,0,45127,0,0,86090,0.555,5527204,0,0,0,0,0
BLR,202900,21438378,0.00946433540821045,0,45127,0,0,202890,0.555,5527204,0,0,0,0,0
EST,42388,21438378,0.00197720182002575,3794,45127,0.0306963472754794,0.918768722089073,42378,0.555,5527204,0,0,0,7.21975963456783,1.65760275287589
GEO,69700,21438378,0.00325117879720192,310,45127,0.00684264417704506,0.336769934011889,69690,0.555,5527204,0,0,0,2.64636563833677,0.369502785560433
KAZ,2699700,21438378,0.125928370140689,0,45127,0,0,2699690,0.555,5527204,0,0,0,0,0
KGZ,191801,21438378,0.00894661900261298,0,45127,0,0,191791,0.555,5527204,0,0,0,0,0
LVA,62249,21438378,0.00290362451860864,498,45127,0.00917715318251863,0.403382391841693,62239,0.555,5527204,0,0,0,3.16981177079266,0.495566271856006
LTU,62680,21438378,0.0029237286514866,90,45127,0.00388791050895658,0.172076603200008,62670,0.555,5527204,0,0,0,1.35219199779911,0.209947167483656
MDA,32891,21438378,0.00153421121691203,0,45127,0,0,32881,0.555,5527204,0,0,0,0,0
RUS,16377742,21438378,0.763945014870062,37653,45127,0.00491962815747568,56.8935299947857,16377732,0.555,5527204,0,0,0,447.074003989227,0.265659920503687
TJK,131510,21438378,0.00613432602037337,0,45127,0,0,131500,0.555,5527204,0,0,0,0,0
TKM,469930,21438378,0.0219200351817661,0,45127,0,0,469920,0.555,5527204,0,0,0,0,0
UKR,553544,21438378,0.0258202369600909,2782,45127,0.00727381059322739,2.84309068560981,553534,0.555,5527204,0,0,0,22.3412387425521,0.392785772034279
UZB,425400,21438378,0.0198429190865092,0,45127,0,0,425390,0.555,5527204,0,0,0,0,0
JPN,364485,464394,0.784861561518883,29751,32164,0.00605318853018364,12.7657086102883,364457.122306848,0.412,171553,2.72227429612773,0.0332564050137769,17.877693152406,21.9010055218227,0.457015734028865
KOR,99909,464394,0.215138438481117,2413,32164,0.00329268057411248,1.90342285621279,99896.3343579427,0.412,171553,0.405902976036446,0.00495867509992168,2.66564205728647,3.26553548705342,0.248597383345493
BHR,765,6058913,0.000126260271438128,161,18276,0.0617871878351597,0.0126458539812021,754.998907822605,0.628,601498,0,0,0.00109217739504522,0.126747576758353,1.16777785008452
IRN,1531595,6058913,0.252783791416051,2440,18276,0.00537575109546351,2.20278134740843,1531584.80975362,0.628,601498,0,0,0.190246384106836,22.0781608207355,0.10160169570426
IRQ,437367,6058913,0.0721857204419341,58,18276,0.0015509835790389,0.181485323482429,437356.984325759,0.628,601498,0,0,0.0156742413865145,1.81900131084836,0.0293135896438351
