dummy,rgdpl,s,y,e,l,k
MOZ,624.8310883,16.78322606,12574689.81,2.9297,11345599,30056.81836
NAM,4309.697185,30.10624217,8717979.086,3.12,834972,34303.27344
NPL,989.2723063,24.62561437,26714437.25,4.1966,14408722,134480.0625
NLD,36820.84285,20.96196206,603204215.9,188.4132,8872112,2468866.75
NZL,26558.36586,21.59992822,107239941,31.9453,2385662,266390.0938
NER,509.8616737,18.57499889,6771091.465,1.4106,5349975,37718.47656
NGA,1542.058684,7.82668176,212144680.8,83.7919,51192657,409251.5
NOR,48700.48838,25.26078438,223518568.4,41.3118,2633451,854801.25
OMN,19196.16396,34.68453253,51789102.14,61.43,1384658,250246.4063
PAK,2012.67792,15.42997324,340395069.1,150.3391,62059659,1135289.75
PAN,8342.078173,22.19434531,26325833.23,9.2464,1739641,79934.10156
PRY,3515.4149,15.1529818,20790212.93,4.9904,3076086,78075.99219
PER,5801.860292,22.36003337,159046250.6,45.8642,15869294,832483.3125
PHL,2793.408385,20.09772837,252784641.4,85.0278,40340543,1136337.5
POL,13654.63823,19.796831,526532131.6,313.3684,18390262,1583437.375
PRT,20007.05217,28.53977474,211157764.3,54.4634,5498578,1153528
QAT,84452.08885,30.51171278,64211426.01,70.7323,1433849,504842.0625
ROU,8085.300974,22.65311558,179542641.1,79.0318,9535590,982434.3125
RUS,12141.28926,16.18404963,1735138747,1632.892,76904174,7077597.5
RWA,822.1556668,12.76429343,7935963.109,0.5899,5356920,17564.39453
STP,1387.86695,18.54381459,219012.2179,0.0989,64519,888.8499756
SAU,18742.73716,33.34560292,442187074,459.869,10041530,2276658
SEN,1382.196503,25.25981182,14983182.74,7.0749,5745548,74000.25781
SRB,7179.261831,19.29730579,53725862.33,47.2236,3141152,309379.0625
SLE,717.2700231,21.96600856,3328916.101,0.6888,2287576,11722.08789
SGP,43313.81395,30.40056895,190671720.7,64.28,2906975,899676.375
SVK,15838.11959,22.05733277,86047205.03,36.6984,2706402,338073.875
