      area_2000 coast_length dryland_loss max_dryland_loss DEM   land_value wetland_loss_SLR wetland_loss_coastalsqueeze exposed_wetland W_1990    coast_protection_cost
BGD   130168    580.0        81275        130168           0.93  1241785    14303            0.0                         65483           74226.89  172
BTN   38394     0.0          81275        0.0              0.93  1241785    0.0              0.0                         0.0             74226.89  172
IND   2864021   7000.0       81275        2864021          0.93  1241785    14303            0.0                         65483           74226.89  172
NPL   143351    0.0          81275        0.0              0.93  1241785    0.0              0.0                         0.0             74226.89  172
PAK   881912    1046         81275        881912           0.93  1241785    14303            0.0                         65483           74226.89  172
LKA   62732     1340.0       81275        62732            0.93  1241785    14303            0.0                         65483           74226.89  172
BRN   5265      161          157286       5265             0.812 1908853    50885            4                           289431          299546.88 169.7
KHM   176515    443          157286       176515           0.812 1908853    50885            4                           289431          299546.88 169.7
IDN   1811569   54716        157286       1811569          0.812 1908853    50885            4                           289431          299546.88 169.7
LAO   230800.0  0.0          157286       0.0              0.812 1908853    0.0              4                           0.0             299546.88 169.7
MYS   329613    4675         157286       329613           0.812 1908853    50885            4                           289431          299546.88 169.7
PHL   298170.0  36289        157286       298170.0         0.812 1908853    50885            4                           289431          299546.88 169.7
SGP   687       193          157286       687              0.812 1908853    50885            4                           289431          299546.88 169.7
THA   510890.0  3219         157286       510890.0         0.812 1908853    50885            4                           289431          299546.88 169.7
VNM   310070.0  3444         157286       310070.0         0.812 1908853    50885            4                           289431          299546.88 169.7
BHS   10010.0   3542         1505         10010.0          0.667 206778     1528             169                         5606            6271.74   16
BRB   431       97           1505         431              0.667 206778     1528             169                         5606            6271.74   16
COM   1862      340.0        1505         1862             0.667 206778     1528             169                         5606            6271.74   16
DOM   48320.0   1288         1505         48320.0          0.667 206778     1528             169                         5606            6271.74   16
FJI   18274     1129         1505         18274            0.667 206778     1528             169                         5606            6271.74   16
JAM   10831     1022         1505         10831            0.667 206778     1528             169                         5606            6271.74   16
MDV   298       644          1505         298              0.667 206778     1528             169                         5606            6271.74   16
MUS   2030.0    177          1505         2030.0           0.667 206778     1528             169                         5606            6271.74   16
STP   964       209          1505         964              0.667 206778     1528             169                         5606            6271.74   16
TTO   5128      362          1505         5128             0.667 206778     1528             169                         5606            6271.74   16
BEN   110622    121          126602       110622           0.799 1395419    27847            345                         92617           236097.24 84.3
BWA   566730.0  0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
BFA   273800.0  0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
BDI   25680.0   0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
CMR   472710.0  402          126602       472710.0         0.799 1395419    27847            345                         92617           236097.24 84.3
CIV   318003    797          126602       318003           0.799 1395419    27847            345                         92617           236097.24 84.3
DJI   23180.0   314          126602       23180.0          0.799 1395419    27847            345                         92617           236097.24 84.3
GNQ   28051     296          126602       28051            0.799 1395419    27847            345                         92617           236097.24 84.3
ETH   1000000.0 0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
GAB   257667    885          126602       257667           0.799 1395419    27847            345                         92617           236097.24 84.3
GMB   10000.0   80.0         126602       10000.0          0.799 1395419    27847            345                         92617           236097.24 84.3
GHA   227533    539          126602       227533           0.799 1395419    27847            345                         92617           236097.24 84.3
GIN   245717    320.0        126602       245717           0.799 1395419    27847            345                         92617           236097.24 84.3
GNB   28120.0   350.0        126602       28120.0          0.799 1395419    27847            345                         92617           236097.24 84.3
KEN   569140.0  536          126602       569140.0         0.799 1395419    27847            345                         92617           236097.24 84.3
LSO   30355     0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
LBR   96320.0   579          126602       96320.0          0.799 1395419    27847            345                         92617           236097.24 84.3
MDG   581540.0  4828         126602       581540.0         0.799 1395419    27847            345                         92617           236097.24 84.3
MWI   94080.0   0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
MLI   1220190.0 0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
MRT   1025520.0 754          126602       1025520.0        0.799 1395419    27847            345                         92617           236097.24 84.3
MOZ   786380.0  2470.0       126602       786380.0         0.799 1395419    27847            345                         92617           236097.24 84.3
NAM   823290.0  1572         126602       823290.0         0.799 1395419    27847            345                         92617           236097.24 84.3
NER   1266700.0 0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
NGA   910768    853          126602       910768           0.799 1395419    27847            345                         92617           236097.24 84.3
RWA   24668     0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
SEN   192530.0  531          126602       192530.0         0.799 1395419    27847            345                         92617           236097.24 84.3
SLE   71620.0   402          126602       71620.0          0.799 1395419    27847            345                         92617           236097.24 84.3
ZAF   1214470.0 2798         126602       1214470.0        0.799 1395419    27847            345                         92617           236097.24 84.3
SDN   2505813   853          126602       2505813          0.799 1395419    27847            345                         92617           236097.24 84.3
SWZ   17204     0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
TZA   885800.0  1424         126602       885800.0         0.799 1395419    27847            345                         92617           236097.24 84.3
TGO   54385     56           126602       54385            0.799 1395419    27847            345                         92617           236097.24 84.3
UGA   197100.0  0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
ZMB   743398    0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
ZWE   386847    0.0          126602       0.0              0.799 1395419    0.0              345                         0.0             236097.24 84.3
USA   9161966   19924        20000.0      9161966          0.583 1373498    11400.0          789                         31049           42828.8   95.3
AUT   82445     0.0          4212         0.0              0.273 1004586    0.0              903                         0.0             95000.79  153.9
BEL   30278     66.5         4212         30278            0.273 1004586    3210.0           903                         37202           95000.79  153.9
CYP   9241      648          4212         9241             0.273 1004586    3210.0           903                         37202           95000.79  153.9
DNK   42434     7314         4212         42434            0.273 1004586    3210.0           903                         37202           95000.79  153.9
FIN   303815    1250.0       4212         303815           0.273 1004586    3210.0           903                         37202           95000.79  153.9
FRA   640427    4853         4212         640427           0.273 1004586    3210.0           903                         37202           95000.79  153.9
