"t","USA","CAN","WEU","JPK","ANZ","EEU","FSU","MDE","CAM","SAM","SAS","SEA","CHI","NAF","SSA","SIS"
2010,1.08,1.07,1.09,1.05,1.07,1.09,0.99,1,1.06,1.05,1.06,1.02,1.16,1.05,1.07,1.03
2015,1.155,1.145,1.155,1.125,1.145,1.175,1.09,1.075,1.14,1.13,1.16,1.12,1.27,1.13,1.15,1.1
2020,1.23,1.22,1.22,1.2,1.22,1.26,1.19,1.15,1.22,1.21,1.26,1.22,1.38,1.21,1.23,1.17
2025,1.36,1.35,1.35,1.325,1.35,1.49,1.41,1.37,1.38,1.365,1.5,1.455,1.645,1.365,1.39,1.32
2030,1.49,1.48,1.48,1.45,1.48,1.72,1.63,1.59,1.54,1.52,1.74,1.69,1.91,1.52,1.55,1.47
2035,1.665,1.65,1.65,1.615,1.65,2.05,1.94,1.965,1.765,1.745,2.155,2.095,2.365,1.745,1.78,1.685
2040,1.84,1.82,1.82,1.78,1.82,2.38,2.25,2.34,1.99,1.97,2.57,2.5,2.82,1.97,2.01,1.9
2045,2.025,2.01,2.005,1.965,2.01,2.86,2.705,2.9,2.315,2.29,3.185,3.095,3.49,2.29,2.335,2.21
2050,2.21,2.2,2.19,2.15,2.2,3.34,3.16,3.46,2.64,2.61,3.8,3.69,4.16,2.61,2.66,2.52
2055,2.405,2.39,2.385,2.34,2.39,3.98,3.77,4.175,3.12,3.085,4.59,4.455,5.025,3.085,3.145,2.98
2060,2.6,2.58,2.58,2.53,2.58,4.62,4.38,4.89,3.6,3.56,5.38,5.22,5.89,3.56,3.63,3.44
2065,2.81,2.79,2.785,2.73,2.79,5.5,5.21,5.8,4.27,4.22,6.38,6.19,6.985,4.22,4.305,4.08
2070,3.02,3,2.99,2.93,3,6.38,6.04,6.71,4.94,4.88,7.38,7.16,8.08,4.88,4.98,4.72
2075,3.27,3.245,3.235,3.175,3.245,7.51,7.11,7.835,5.8,5.73,8.615,8.36,9.435,5.73,5.845,5.54
2080,3.52,3.49,3.48,3.42,3.49,8.64,8.18,8.96,6.66,6.58,9.85,9.56,10.79,6.58,6.71,6.36
2085,3.795,3.765,3.755,3.685,3.765,10.025,9.49,10.29,7.8,7.715,11.315,10.98,12.39,7.715,7.865,7.455
2090,4.07,4.04,4.03,3.95,4.04,11.41,10.8,11.62,8.94,8.85,12.78,12.4,13.99,8.85,9.02,8.55
2095,4.34,4.31,4.295,4.215,4.305,12.92,12.23,13.11,10.23,10.12,14.415,13.985,15.78,10.12,10.315,9.78
2100,4.61,4.58,4.56,4.48,4.57,14.43,13.66,14.6,11.52,11.39,16.05,15.57,17.57,11.39,11.61,11.01
